# abbr_inter_2017_02.tsvのユーザ回答を集計したファイル
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID	原言語側で２つの部分に分割できるカタカナ「語彙素」	当該語彙素の原言語側での表記（スペース区切り）	原言語側の分割に従って分割した語彙素の前部	語彙素原言語側表記での前部	語彙素前部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素前部中で原言語からの省略が起きて「いない」と回答したユーザ数	原言語側の分割に従って分割した語彙素の後部	語彙素原言語側表記での後部	語彙素後部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素後部中で原言語からの省略が起きて「いない」と回答したユーザ数
144340	ブリンマー	Bryn Mawr	ブリン	Bryn	abb:3	!abb:197	マー	Mawr	abb:15	!abb:185
145826	ハイソ	high society	ハイ	high	abb:4	!abb:96	ソ	society	abb:98	!abb:2
145927	メンロパーク	Menlo Park	メンロ	Menlo	abb:5	!abb:295	パーク	Park	abb:1	!abb:299
146788	コタバル	Kota Bharu	コタ	Kota	abb:5	!abb:195	バル	Bharu	abb:5	!abb:195
146889	ストウハ	straw hat	ストウ	straw	abb:22	!abb:78	ハ	hat	abb:69	!abb:31
147022	トレパン	training pants	トレ	training	abb:396	!abb:4	パン	pants	abb:380	!abb:20
148108	コイレシリア	Coele Syria	コイレ	Coele	abb:0	!abb:97	シリア	Syria	abb:0	!abb:97
148495	ゲッツー	get two	ゲッ	get	abb:38	!abb:59	ツー	two	abb:1	!abb:96
148619	サンペドロ	San Pedro	サン	San	abb:1	!abb:98	ペドロ	Pedro	abb:1	!abb:98
149235	サンパブロ	San Pablo	サン	San	abb:1	!abb:98	パブロ	Pablo	abb:1	!abb:98
149328	カルチエラタン	Quartier latin	カルチエ	Quartier	abb:4	!abb:96	ラタン	latin	abb:0	!abb:100
149472	アンアン	an an	アン	an	abb:1	!abb:99	アン	an	abb:1	!abb:99
149474	ノンノ	non no	ノン	non	abb:0	!abb:97	ノ	no	abb:0	!abb:97
149531	クイニョン	Qui Nhon	クイ	Qui	abb:0	!abb:100	ニョン	Nhon	abb:0	!abb:100
149557	バイアウト	buy out	バイ	buy	abb:2	!abb:198	アウト	out	abb:2	!abb:198
149592	ポンヌフ	Pont Neuf	ポン	Pont	abb:11	!abb:89	ヌフ	Neuf	abb:2	!abb:98
149661	ラファイエット	La Fayette	ラ	La	abb:1	!abb:198	ファイエット	Fayette	abb:1	!abb:198
149732	カムデンタウン	Camden Town	カムデン	Camden	abb:3	!abb:97	タウン	Town	abb:2	!abb:98
150832	シャトーティエリ	Chateau Thierry	シャトー	Chateau	abb:8	!abb:192	ティエリ	Thierry	abb:4	!abb:196
151553	エルレノ	El Reno	エル	El	abb:2	!abb:98	レノ	Reno	abb:3	!abb:97
151568	サントロペ	Saint Tropez	サン	Saint	abb:15	!abb:85	トロペ	Tropez	abb:4	!abb:96
151683	コベントガーデン	Covent Garden	コベント	Covent	abb:1	!abb:96	ガーデン	Garden	abb:1	!abb:96
151740	パームスプリングス	Palm Springs	パーム	Palm	abb:1	!abb:199	スプリングス	Springs	abb:1	!abb:199
151887	ルピュイ	Le Puy	ル	Le	abb:3	!abb:97	ピュイ	Puy	abb:5	!abb:95
152388	シーダークリフ	Cedar Cliff	シーダー	Cedar	abb:2	!abb:97	クリフ	Cliff	abb:2	!abb:97
152392	ラフォーレ	La foret	ラ	La	abb:0	!abb:99	フォーレ	foret	abb:7	!abb:92
152401	ジュニパーヒル	Juniper Hill	ジュニパー	Juniper	abb:0	!abb:99	ヒル	Hill	abb:0	!abb:99
152605	チープロ	chief producer	チー	chief	abb:94	!abb:6	プロ	producer	abb:98	!abb:2
152644	サンマルツァーノ	San Marzano	サン	San	abb:1	!abb:99	マルツァーノ	Marzano	abb:0	!abb:100
152695	デニーロ	De Niro	デ	De	abb:1	!abb:99	ニーロ	Niro	abb:0	!abb:100
152703	デハビランド	de Havilland	デ	de	abb:2	!abb:98	ハビランド	Havilland	abb:2	!abb:98
152708	カムデンヤード	Cameden yards	カムデン	Cameden	abb:0	!abb:100	ヤード	yards	abb:2	!abb:98
152955	マハーパジャーパティー	Maha Prajapati	マハー	Maha	abb:2	!abb:98	パジャーパティー	Prajapati	abb:1	!abb:99
153480	ヌアヌパリ	Nuuanu Pali	ヌアヌ	Nuuanu	abb:2	!abb:98	パリ	Pali	abb:1	!abb:99
153522	ロスアラモス	Los Alamos	ロス	Los	abb:2	!abb:96	アラモス	Alamos	abb:1	!abb:97
154550	エルタヒン	El Tajin	エル	El	abb:3	!abb:197	タヒン	Tajin	abb:2	!abb:198
154554	アンナーバー	Ann Arbor	アン	Ann	abb:1	!abb:99	ナーバー	Arbor	abb:1	!abb:99
154807	サンテティエンヌ	Saint Etienne	サンテ	Saint	abb:5	!abb:195	ティエンヌ	Etienne	abb:8	!abb:192
154953	チェチェンイッツア	Chichen Itza	チェチェン	Chichen	abb:2	!abb:98	イッツア	Itza	abb:1	!abb:99
154997	クロカン	ross country	クロ	ross	abb:93	!abb:5	カン	country	abb:97	!abb:1
155155	リトルノートン	Little Norton	リトル	Little	abb:1	!abb:99	ノートン	Norton	abb:1	!abb:99
155350	タンザン	Tan Zam	タン	Tan	abb:2	!abb:296	ザン	Zam	abb:2	!abb:296
155787	エルパソ	El Paso	エル	El	abb:13	!abb:386	パソ	Paso	abb:11	!abb:388
156094	シネコン	cinema complex	シネ	cinema	abb:97	!abb:3	コン	complex	abb:99	!abb:1
156290	クオイティオ	kuoi tiao	クオイ	kuoi	abb:3	!abb:95	ティオ	tiao	abb:3	!abb:95
156404	イメクラ	image club	イメ	image	abb:100	!abb:0	クラ	club	abb:100	!abb:0
