# ref_src_2019_03.tsv をマルチクラスのGLAD法で品質評価した結果
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID_1	語彙素読み1	語彙素1	語彙素ID_2	語彙素読み2	語彙素2	2つの語彙素が近しい意味を持つ確率
174981	オイオロス	追い下ろす	331874	オイクダス	追い下す	0.938822
1095	アユミヨリ	歩み寄り	1097	アユム	歩む	0.854916
1244	アルバイター	アルバイター-Arbeiter	1245	アルバイト	アルバイト-Arbeit	0.999474
33505	ブルドーザー	ブルドーザー-bulldozer	86067	ブル	ブル-bull	0.999291
175587	ウマレアワセル	生まれ合わせる	87131	ウマレアワス	生まれ合わす	0.854508
226399	パーティシペーティング	パーティシペーティング-participating	83650	パーティシパント	パーティシパント-participant	0.85154
60871	トビワタル	飛び渡る	26578	トブ	飛ぶ	0.88592
59994	ツトメアゲル	勤め上げる	24658	ツトメ	勤め	0.93167
136315	タテカワル	建て替わる	22476	タテカエ	建て替え	0.99952
136372	ツクリタテ	作り立て	24557	ツクリテ	作り手	0.959398
54145	サソイカケル	誘い掛ける	248215	サソイカケ	誘い掛け	0.994633
55018	シニワカレル	死に別れる	195922	シニワカレ	死に別れ	0.996134
1091	アユマス	歩ます	1224	アルク	歩く	0.925989
167017	タノミイレル	頼み入れる	58839	タノミイル	頼み入る	0.87402
179988	アンソロジスト	アンソロジスト	1369	アンソロジー	アンソロジー-anthology	0.971938
201542	ナキワカレル	泣き別れる	62135	ナキワカレ	泣き別れ	0.999494
248579	ストライプト	ストライプト-striped	19300	ストライプ	ストライプ-stripe	0.982636
67502	メシヨセル	召し寄せる	198006	メシヨセ	召し寄せ	0.999049
90599	カヨイアウ	通い合う	7209	カヨイ	通い	0.992581
159101	コンサドールズ	コンサドールズ	152527	コンサ	コンサ-consultant	0.897509
93308	バイオガス	バイオガス-biogas	159991	バイオ	バイオ	0.850397
5838	カイツケル	買い付ける	5837	カイツケ	買い付け	1.0
228362	オボシミダレル	思し乱れる	5196	オボス	思す	0.838896
146877	シンジケーション	シンジケーション-syndication	83170	シンジケート	シンジケート-syndicate	0.98848
250210	ピペリジノプロピオフェノン	ピペリジノプロピオフェノン-piperidinopropiophenone	251749	ピペリジノエチルアミン	ピペリジノエチルアミン-piperidinoethylamine	0.956779
33748	プレゼンテーション	プレゼンテーション-presentation	119597	プレゼンテーター	プレゼンテーター	0.848836
37991	モリツケ	盛り付け	37956	モリ	盛り	0.868956
38121	ヤキアゲル	焼き上げる	38118	ヤキ	焼き	0.997094
231906	アツマリソソグ	集まり注ぐ	825	アツマリ	集まり	0.827241
201948	アフリカヌス	アフリカヌス-africanus	948	アフリカン	アフリカン-African	0.941933
200167	アツマリヨル	集まり寄る	825	アツマリ	集まり	0.944795
192186	オモイトドマラス	思い止まらす	188412	オモイトメル	思い止める	0.999891
38121	ヤキアゲル	焼き上げる	137714	ヤキアゲ	焼き上げ	0.992374
237263	オトシノコシ	落とし残し	5075	オトシ	落とし	0.859861
237885	カワキハダ	乾き肌	7370	カワキ	乾き	0.85179
14213	サダマル	定まる	14218	サダメ	定め	0.843537
115871	シミュレーショニズム	シミュレーショニズム-Simulationism	83107	シミュレーター	シミュレーター-simulator	0.811195
116105	スノーボーダー	スノーボーダー-snowboarder	19351	スノーボード	スノーボード-snowboard	0.833515
43975	ヒートアップ	ヒートアップ	42034	ヒート	ヒート-heat	0.9372
43918	トランスフォーマー	トランスフォーマー	26744	トランス	トランス-trans	0.808935
179043	スクイイダス	救い出だす	193261	スクイダシ	救い出し	0.999999
203225	シイレドンヤ	仕入れ問屋	208424	シイレサキ	仕入れ先	0.817
87229	ナイマゼル	綯い交ぜる	61886	ナイマゼ	綯い交ぜ	0.993831
87281	フキアレル	吹き荒れる	65151	フキスサム	吹き荒む	0.931293
87261	ソメツケル	染め付ける	58422	ソメツケ	染め付け	0.923659
87183	カシコス	貸し越す	48756	カシヌシ	貸し主	0.99197
136712	シラセル	知らせる	17118	シラセ	知らせ	0.939344
338369	アワレミブカイ	哀れみ深い	293595	アワレミル	哀れみる	0.999973
69247	ヨミカエル	読み替える	189548	ヨミカエ	読み替え	0.999995
246434	スキイレル	漉き入れる	56221	スキイレ	漉き入れ	0.996339
24674	ツナギアワセル	繋ぎ合わせる	274888	ツナギコトバ	繋ぎ言葉	0.920982
274568	サワギノノシル	騒ぎ罵る	14480	サワグ	騒ぐ	0.998018
27399	ドンキー	ドンキー-donkey	154788	ドンキ	ドンキ	0.860158
190628	ツキススメル	突き進める	24504	ツキススム	突き進む	0.871706
35733	マゾヒズム	マゾヒズム-Masochism	120966	マゾ	マゾ-masochist	0.812601
174827	ノロイコトバ	呪い言葉	311052	トコウ	呪う	0.98612
62731	ヌクメル	温める	731	アタタカ	温か	0.988271
6486	カジリツク	齧り付く	6487	カジル	齧る	0.810659
32564	フキカエル	吹き替える	32563	フキカエ	吹き替え	0.996999
36976	ミートボール	ミートボール	134993	ミート	ミート-meet	0.828572
37363	メガバイト	メガバイト-megabyte	154866	メガ	メガ-mega	0.992888
37364	メガビット	メガビット-mega bit	154866	メガ	メガ-mega	0.982061
221411	オモイイデ	思い出で	5247	オモイデ	思い出	0.940753
71374	エグリトル	抉り取る	53301	クジル	抉る	0.831744
71452	カリコス	借り越す	49858	カル	借る	0.945867
7149	カムバック	カムバック-comeback	132529	カム	カム-cam	0.979038
174457	ヒキイダス	引き出だす	31235	ヒキダシ	引き出し	0.939094
68660	シムケル	仕向ける	68659	シムケ	仕向け	0.970758
68991	シャクリアゲル	しゃくり上げる	68992	シャクリナキ	しゃくり泣き	0.842119
31229	ヒキシマル	引き締まる	31230	ヒキシメ	引き締め	0.990959
